id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
oC-BU83Ag-vlVBcjlwxUZw,pepes-place-new-rochelle,Pepe's Place,https://s3-media2.fl.yelpcdn.com/bphoto/eCZjwIlfjdKMFrGCwwGLBw/o.jpg,False,https://www.yelp.com/biz/pepes-place-new-rochelle?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,412,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.5,"{'latitude': 40.9209170900794, 'longitude': -73.7875532358885}","['delivery', 'pickup']",$$,"{'address1': '560 North Ave', 'address2': '', 'address3': '', 'city': 'New Rochelle', 'zip_code': '10801', 'country': 'US', 'state': 'NY', 'display_address': ['560 North Ave', 'New Rochelle, NY 10801']}",+19146327373,(914) 632-7373,8348.369289489718
P0KtNoGAK3G_s43V2qzQfA,off-the-hook-of-yonkers-yonkers,Off The Hook Of Yonkers,https://s3-media3.fl.yelpcdn.com/bphoto/euJ8cBrmDM50sPBKNcms-Q/o.jpg,False,https://www.yelp.com/biz/off-the-hook-of-yonkers-yonkers?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,5,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'southern', 'title': 'Southern'}]",4.5,"{'latitude': 40.93576, 'longitude': -73.89841}","['delivery', 'pickup']",,"{'address1': '47 North Broadway', 'address2': None, 'address3': '', 'city': 'Yonkers', 'zip_code': '10701', 'country': 'US', 'state': 'NY', 'display_address': ['47 North Broadway', 'Yonkers, NY 10701']}",+19144573371,(914) 457-3371,2238.342638966381
NZzsPPU0FpkFz9hDmq9ZkQ,lusitania-seafood-restaurant-yonkers,Lusitania Seafood Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/A1-kxIP7UChaRpr9fWzxXQ/o.jpg,False,https://www.yelp.com/biz/lusitania-seafood-restaurant-yonkers?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,38,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'portuguese', 'title': 'Portuguese'}]",4.0,"{'latitude': 40.947667, 'longitude': -73.8759205}","['delivery', 'pickup']",$$,"{'address1': '15 Lockwood Ave', 'address2': '', 'address3': '', 'city': 'Yonkers', 'zip_code': '10701', 'country': 'US', 'state': 'NY', 'display_address': ['15 Lockwood Ave', 'Yonkers, NY 10701']}",+19149694600,(914) 969-4600,370.25821287935304
InC56Q0l9BjdOaCWtD3xAQ,jjr-highridge-fishery-yonkers-2,JJR Highridge Fishery,https://s3-media3.fl.yelpcdn.com/bphoto/fFD0vHLt-WlR5XuYYVCJEA/o.jpg,False,https://www.yelp.com/biz/jjr-highridge-fishery-yonkers-2?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,41,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",4.0,"{'latitude': 40.961373219417446, 'longitude': -73.84209751369288}","['delivery', 'pickup']",$$,"{'address1': '1791 Central Park Ave', 'address2': '', 'address3': '', 'city': 'Yonkers', 'zip_code': '10710', 'country': 'US', 'state': 'NY', 'display_address': ['1791 Central Park Ave', 'Yonkers, NY 10710']}",+19143373775,(914) 337-3775,3376.655022454014
sDqDQgV4VBIElhjxMplmow,the-bayou-restaurant-mount-vernon,The Bayou Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/1imehja7XzqQmUh0tq18Dg/o.jpg,False,https://www.yelp.com/biz/the-bayou-restaurant-mount-vernon?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,296,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}]",3.5,"{'latitude': 40.9261252, 'longitude': -73.8357865}",['delivery'],$$,"{'address1': '580 Gramatan Ave', 'address2': '', 'address3': '', 'city': 'Mount Vernon', 'zip_code': '10552', 'country': 'US', 'state': 'NY', 'display_address': ['580 Gramatan Ave', 'Mount Vernon, NY 10552']}",+19146682634,(914) 668-2634,4503.962464152973
ZeGiGbUGPr31XeUgGGryag,crab-du-jour-mount-vernon,Crab Du Jour,https://s3-media4.fl.yelpcdn.com/bphoto/fOu91DZt4KAxhBPGSbuBIw/o.jpg,False,https://www.yelp.com/biz/crab-du-jour-mount-vernon?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,29,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]",4.0,"{'latitude': 40.900734, 'longitude': -73.819805}","['delivery', 'pickup']",,"{'address1': '440 Sandford Blvd', 'address2': None, 'address3': '', 'city': 'Mount Vernon', 'zip_code': '10550', 'country': 'US', 'state': 'NY', 'display_address': ['440 Sandford Blvd', 'Mount Vernon, NY 10550']}",+19146687888,(914) 668-7888,7396.3045103486465
DGkpJKbCB-YS3m6wqynWXA,guapo-mexican-cuban-cuisine-yonkers,Guapo Mexican Cuban Cuisine,https://s3-media3.fl.yelpcdn.com/bphoto/fSt9jQQujwQ6tNrY75_GOQ/o.jpg,False,https://www.yelp.com/biz/guapo-mexican-cuban-cuisine-yonkers?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,223,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,"{'latitude': 40.9347, 'longitude': -73.8991099}","['delivery', 'pickup']",$$,"{'address1': '10 Warburton Ave', 'address2': '', 'address3': '', 'city': 'Yonkers', 'zip_code': '10701', 'country': 'US', 'state': 'NY', 'display_address': ['10 Warburton Ave', 'Yonkers, NY 10701']}",+19149205900,(914) 920-5900,2372.491087680129
PCleT-gb3KNqNCyM2ZQ5Dg,baby-crab-bronx,Baby Crab,https://s3-media2.fl.yelpcdn.com/bphoto/HhmsmAy7gCThDnfVZ1XR3A/o.jpg,False,https://www.yelp.com/biz/baby-crab-bronx?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,7,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 40.882864342757514, 'longitude': -73.90139145310188}","['delivery', 'pickup']",$$,"{'address1': '5740 Broadway', 'address2': 'Unit C', 'address3': '', 'city': 'Bronx', 'zip_code': '10463', 'country': 'US', 'state': 'NY', 'display_address': ['5740 Broadway', 'Unit C', 'Bronx, NY 10463']}",+16316027775,(631) 602-7775,7672.792107044626
uJR4Xd8xa3BIE_Gjr6bZ3Q,park-143-bistro-and-fish-bronxville,Park 143 Bistro & Fish,https://s3-media3.fl.yelpcdn.com/bphoto/uPc0A6-x9UazL8V55OIOJA/o.jpg,False,https://www.yelp.com/biz/park-143-bistro-and-fish-bronxville?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,226,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 40.9411507, 'longitude': -73.8359332}","['delivery', 'pickup']",$$,"{'address1': '143 Parkway Rd', 'address2': None, 'address3': '', 'city': 'Bronxville', 'zip_code': '10708', 'country': 'US', 'state': 'NY', 'display_address': ['143 Parkway Rd', 'Bronxville, NY 10708']}",+19143375100,(914) 337-5100,3752.1728170473475
IEO9p0-m-U-qy62rrJIM_A,captain-crab-hartsdale,Captain Crab,https://s3-media2.fl.yelpcdn.com/bphoto/XgD74eB4TeXzpja9TSen9A/o.jpg,False,https://www.yelp.com/biz/captain-crab-hartsdale?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,82,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,"{'latitude': 41.015588, 'longitude': -73.803654}","['delivery', 'pickup']",$$,"{'address1': '149 S Central Ave', 'address2': '', 'address3': None, 'city': 'Hartsdale', 'zip_code': '10530', 'country': 'US', 'state': 'NY', 'display_address': ['149 S Central Ave', 'Hartsdale, NY 10530']}",+19143688818,(914) 368-8818,9684.533091235897
PN0gjCha_CIVwc_twNByYg,mason-sandwich-company-eastchester,Mason Sandwich Company,https://s3-media1.fl.yelpcdn.com/bphoto/OF51Ng8abZSSIUF4uqJIBg/o.jpg,False,https://www.yelp.com/biz/mason-sandwich-company-eastchester?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,384,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'latitude': 40.956389, 'longitude': -73.8116096}","['delivery', 'pickup']",$$,"{'address1': '33 Mill Rd', 'address2': '', 'address3': '', 'city': 'Eastchester', 'zip_code': '10709', 'country': 'US', 'state': 'NY', 'display_address': ['33 Mill Rd', 'Eastchester, NY 10709']}",+19147762766,(914) 776-2766,5735.5848339527965
rkYATACY4qzaVFapJTWj4Q,fish-n-ting-bronx,Fish N' Ting,https://s3-media2.fl.yelpcdn.com/bphoto/cN3SS2R9WJdus-gtisVghA/o.jpg,False,https://www.yelp.com/biz/fish-n-ting-bronx?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,320,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 40.885723, 'longitude': -73.829075}","['delivery', 'pickup']",$$,"{'address1': '4063 Boston Rd', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10466', 'country': 'US', 'state': 'NY', 'display_address': ['4063 Boston Rd', 'Bronx, NY 10466']}",+17188816116,(718) 881-6116,8281.515157445205
min3AICjPD3Pm0MWMS_vMw,sea-flame-seafood-and-steakhouse-scarsdale-2,Sea Flame Seafood & Steakhouse,https://s3-media4.fl.yelpcdn.com/bphoto/bnZOMGrdDT8tWJUUuF_NpA/o.jpg,False,https://www.yelp.com/biz/sea-flame-seafood-and-steakhouse-scarsdale-2?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,105,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 40.970927, 'longitude': -73.8066635}","['delivery', 'pickup']",$$$,"{'address1': '709 White Plains Rd', 'address2': '', 'address3': None, 'city': 'Scarsdale', 'zip_code': '10583', 'country': 'US', 'state': 'NY', 'display_address': ['709 White Plains Rd', 'Scarsdale, NY 10583']}",+19148745366,(914) 874-5366,6510.338407546195
6MOlXozVwFeltLO3Am8GUg,decostas-restaurant-yonkers,DeCosta's Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/yIFUbXCd5ujKzMwJfiktSA/o.jpg,False,https://www.yelp.com/biz/decostas-restaurant-yonkers?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,112,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 40.931487, 'longitude': -73.870766}","['delivery', 'pickup']",$$,"{'address1': '400 Yonkers Ave', 'address2': '', 'address3': '', 'city': 'Yonkers', 'zip_code': '10704', 'country': 'US', 'state': 'NY', 'display_address': ['400 Yonkers Ave', 'Yonkers, NY 10704']}",+19149648887,(914) 964-8887,2159.7019904440654
iSEJrtFIW7n-Rpk9XHKqpQ,hook-and-reel-cajun-seafood-and-bar-yonkers,Hook & Reel Cajun Seafood & Bar,https://s3-media2.fl.yelpcdn.com/bphoto/R2fJGBeYG62AT_PEzhRJnw/o.jpg,False,https://www.yelp.com/biz/hook-and-reel-cajun-seafood-and-bar-yonkers?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,26,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]",3.5,"{'latitude': 40.979379, 'longitude': -73.831149}","['delivery', 'pickup']",,"{'address1': '2375 Central Park Ave', 'address2': '', 'address3': None, 'city': 'Yonkers', 'zip_code': '10710', 'country': 'US', 'state': 'NY', 'display_address': ['2375 Central Park Ave', 'Yonkers, NY 10710']}",+19143557739,(914) 355-7739,5206.584200034809
vbSJERRNTaVIduh50ZeaXw,mikuna-peruvian-takeout-scarsdale,Mikuna Peruvian Takeout,https://s3-media1.fl.yelpcdn.com/bphoto/8Laglea5HB4JgTp49frr8Q/o.jpg,False,https://www.yelp.com/biz/mikuna-peruvian-takeout-scarsdale?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,2,"[{'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'delis', 'title': 'Delis'}]",4.5,"{'latitude': 41.0124041, 'longitude': -73.8066547}","['delivery', 'pickup']",,"{'address1': '263 S Central Ave', 'address2': '', 'address3': None, 'city': 'Scarsdale', 'zip_code': '10530', 'country': 'US', 'state': 'NY', 'display_address': ['263 S Central Ave', 'Scarsdale, NY 10530']}",+19144378300,(914) 437-8300,9252.250476371999
ZrwY4BEJhXViFxvDoKjX4A,la-cabana-restaurant-yonkers,La Cabana Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/FdShJrIWv6IERz3Lwsn09Q/o.jpg,False,https://www.yelp.com/biz/la-cabana-restaurant-yonkers?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,5,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"{'latitude': 40.9391594, 'longitude': -73.8881149}",['delivery'],$,"{'address1': '206 Ashburton Ave', 'address2': '', 'address3': '', 'city': 'Yonkers', 'zip_code': '10701', 'country': 'US', 'state': 'NY', 'display_address': ['206 Ashburton Ave', 'Yonkers, NY 10701']}",+19143387030,(914) 338-7030,1395.240304396516
o7il1IHLyOTCofbsXxdWBA,sweet-potatoes-restaurant-new-rochelle,Sweet Potatoes Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/nRdWULP57JjtrgRusV4gbQ/o.jpg,False,https://www.yelp.com/biz/sweet-potatoes-restaurant-new-rochelle?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,343,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 40.91586, 'longitude': -73.78457}","['delivery', 'pickup']",$$,"{'address1': '393 North Ave', 'address2': '', 'address3': '', 'city': 'New Rochelle', 'zip_code': '10801', 'country': 'US', 'state': 'NY', 'display_address': ['393 North Ave', 'New Rochelle, NY 10801']}",+19146540500,(914) 654-0500,8791.073428684098
vmnDYgMnCmnvA76yBaB9ig,rory-dolans-restaurant-and-bar-yonkers-2,Rory Dolan's Restaurant & Bar,https://s3-media1.fl.yelpcdn.com/bphoto/tI6Jt6T97EwQs0dV5Sbp_A/o.jpg,False,https://www.yelp.com/biz/rory-dolans-restaurant-and-bar-yonkers-2?adjust_creative=IFiibPQ3l341tFSbhqLzFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=IFiibPQ3l341tFSbhqLzFw,295,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 40.9048109, 'longitude': -73.868736}","['delivery', 'pickup']",$$,"{'address1': '890 McLean Ave', 'address2': '', 'address3': '', 'city': 'Yonkers', 'zip_code': '10704', 'country': 'US', 'state': 'NY', 'display_address': ['890 McLean Ave', 'Yonkers, NY 10704']}",+19147762946,(914) 776-2946,5066.3682961753675
